transit_date,station_complex_id,station_ridership,inside_zone
1/10/2024,118,4634,1
1/10/2024,436,2112,0
1/10/2024,328,12453,1
1/10/2024,319,8491,1
1/10/2024,323,7590,1
1/10/2024,159,8772,0
1/10/2024,103,2210,1
1/10/2024,439,7407,0
1/10/2024,313,26746,0
1/10/2024,622,18702,1
1/10/2024,119,17052,1
1/10/2024,305,7228,0
1/10/2024,325,3865,1
1/10/2024,309,8005,0
1/10/2024,394,6473,0
1/11/2024,397,35722,0
1/11/2024,162,16085,1
1/11/2024,156,3260,0
1/11/2024,622,19213,1
1/11/2024,223,7502,0
1/11/2024,319,8538,1
1/11/2024,403,20446,1
1/11/2024,396,13948,0
1/11/2024,154,4669,0
1/11/2024,399,16622,0
1/11/2024,301,6709,0
1/11/2024,307,7991,0
1/11/2024,22,4067,1
1/11/2024,413,12237,1
1/11/2024,314,15493,0
1/11/2024,311,12687,0
1/11/2024,159,8919,0
1/11/2024,612,43371,1
1/11/2024,9,25179,1
1/11/2024,328,11691,1
1/11/2024,234,11490,1
1/11/2024,224,4275,1
1/11/2024,145,3279,0
1/11/2024,157,7561,0
1/11/2024,325,3516,1
1/11/2024,441,4658,0
1/11/2024,405,16453,1
1/11/2024,297,1671,0
1/11/2024,16,10481,1
1/11/2024,14,13329,1
1/11/2024,316,17151,1
1/11/2024,222,3311,0
1/11/2024,437,1926,0
1/11/2024,321,5922,1
1/11/2024,326,4583,1
1/11/2024,320,9871,1
1/11/2024,414,17184,1
1/11/2024,146,6531,0
1/11/2024,149,2720,0
1/11/2024,309,8318,0
1/11/2024,327,13737,1
1/11/2024,305,7426,0
1/11/2024,119,17388,1
1/11/2024,476,17041,0
1/11/2024,8,10789,0
1/11/2024,628,60934,1
1/11/2024,225,39040,1
1/11/2024,298,4319,0
1/11/2024,624,42160,1
1/11/2024,318,50578,1
1/11/2024,394,6510,0
1/11/2024,152,3735,0
1/11/2024,310,24553,0
1/11/2024,618,34778,1
1/11/2024,13,8282,1
1/11/2024,313,27669,0
1/11/2024,150,1861,0
1/11/2024,610,112537,1
1/11/2024,333,14110,1
1/11/2024,169,13940,1
1/11/2024,625,21336,1
1/11/2024,398,22327,0
1/11/2024,635,18387,1
1/11/2024,155,5340,0
1/11/2024,17,8049,1
1/11/2024,329,4635,1
1/11/2024,300,4871,0
1/11/2024,312,10180,0
1/11/2024,153,17787,0
1/11/2024,220,2010,0
1/11/2024,20,4267,1
1/11/2024,107,4395,1
1/11/2024,611,134203,1
1/11/2024,393,8061,0
1/11/2024,276,19956,1
1/11/2024,277,12793,1
1/11/2024,440,5920,0
1/11/2024,477,22504,0
1/11/2024,409,8017,1
1/11/2024,299,4592,0
1/11/2024,167,29174,1
1/11/2024,118,4807,1
1/11/2024,438,6726,0
1/11/2024,601,31399,1
1/11/2024,395,8777,0
1/11/2024,613,41595,1
1/11/2024,228,18349,1
1/11/2024,323,7552,1
1/11/2024,392,15841,0
1/11/2024,471,18968,1
1/11/2024,10,17641,1
1/11/2024,436,2192,0
1/11/2024,165,16055,1
1/11/2024,407,11842,1
1/11/2024,144,4413,0
1/11/2024,614,47703,1
1/11/2024,147,7234,0
1/11/2024,304,6081,0
1/11/2024,296,3304,0
1/11/2024,609,36161,1
1/11/2024,143,6114,0
1/11/2024,151,15163,0
1/11/2024,623,30702,1
1/11/2024,231,17811,1
1/11/2024,164,57231,1
1/11/2024,306,5527,0
1/11/2024,605,18295,0
1/11/2024,308,8249,0
