transit_date,station_complex_id,station_ridership
3/14/2025,396,14101
3/14/2025,439,10228
3/14/2025,304,7036
3/14/2025,309,9587
3/14/2025,277,13161
3/14/2025,14,12893
3/14/2025,319,9691
3/14/2025,300,5522
3/24/2025,10,17830
3/24/2025,14,13111
3/24/2025,145,2950
3/24/2025,277,13345
3/24/2025,309,8375
3/24/2025,228,18268
3/24/2025,437,2073
3/24/2025,224,8579
3/24/2025,118,4715
3/24/2025,158,7102
3/24/2025,16,9073
3/24/2025,165,14671
3/24/2025,153,18648
3/24/2025,232,9947
3/24/2025,20,3565
3/24/2025,298,3860
3/24/2025,319,10007
3/24/2025,103,2398
3/24/2025,147,6813
3/24/2025,8,9229
3/24/2025,301,7768
3/24/2025,297,1682
3/24/2025,160,5635
3/24/2025,438,8206
3/24/2025,475,12554
3/24/2025,403,19618
3/24/2025,311,12041
3/24/2025,119,19320
3/24/2025,320,9255
3/24/2025,325,2981
3/24/2025,313,26300
3/24/2025,476,16178
3/24/2025,398,19514
3/24/2025,316,17188
3/13/2025,309,9905
3/13/2025,325,4621
3/13/2025,320,11549
3/13/2025,395,10196
3/13/2025,312,12150
3/13/2025,146,7877
3/13/2025,437,2352
3/13/2025,475,14361
3/13/2025,147,7681
3/13/2025,404,17659
3/13/2025,162,18982
3/13/2025,326,4893
3/13/2025,232,12950
3/13/2025,156,3617
3/13/2025,414,19270
3/13/2025,277,16109
3/13/2025,10,18195
3/13/2025,405,24132
3/13/2025,158,9747
3/13/2025,150,1967
3/13/2025,119,22264
3/13/2025,396,15883
3/13/2025,145,3508
3/13/2025,413,13671
3/13/2025,605,19290
3/13/2025,118,5826
3/13/2025,311,15018
3/13/2025,224,12817
3/13/2025,316,21236
3/13/2025,157,8300
3/13/2025,319,11115
3/12/2025,232,12701
3/12/2025,301,8326
3/12/2025,277,16259
3/12/2025,224,13222
3/12/2025,165,18428
3/12/2025,398,22709
3/12/2025,475,15525
3/12/2025,17,8636
3/12/2025,438,9450
3/12/2025,404,17369
3/12/2025,312,11939
3/12/2025,477,27209
3/12/2025,143,6780
3/12/2025,20,4463
3/12/2025,392,20596
3/12/2025,231,18252
3/12/2025,397,35690
3/12/2025,118,5783
3/12/2025,158,9253
3/12/2025,407,14021
3/12/2025,319,11411
3/12/2025,440,7705
3/12/2025,300,5718
3/12/2025,437,2326
3/12/2025,303,7932
3/12/2025,395,10599
3/12/2025,150,1949
3/12/2025,439,10586
3/12/2025,145,3347
3/12/2025,157,8389
3/12/2025,320,10675
3/12/2025,310,28270
3/12/2025,405,25044
3/11/2025,300,5715
3/11/2025,476,20165
3/11/2025,150,1841
3/11/2025,301,8504
3/11/2025,304,7019
3/11/2025,119,21042
3/11/2025,396,14979
3/11/2025,222,6424
3/11/2025,306,6189
3/11/2025,312,11569
3/11/2025,325,4295
3/11/2025,439,10744
3/11/2025,297,1604
3/11/2025,405,23668
3/11/2025,232,11981
3/11/2025,14,14726
3/11/2025,162,17108
3/11/2025,477,26731
3/11/2025,160,8126
3/11/2025,436,2417
3/11/2025,475,15308
3/11/2025,152,4495
3/11/2025,153,21147
3/11/2025,409,8710
3/11/2025,299,5807
3/11/2025,321,6458
3/11/2025,20,4280
3/11/2025,158,9573
3/11/2025,316,20695
3/11/2025,303,7810
3/11/2025,147,7860
3/11/2025,309,9505
3/17/2025,228,19472
3/17/2025,476,17700
3/17/2025,437,2074
3/17/2025,10,17080
3/17/2025,324,10542
3/17/2025,103,2504
3/17/2025,477,24771
3/17/2025,310,23722
3/17/2025,154,4715
3/17/2025,152,4151
3/17/2025,395,9286
3/17/2025,153,19271
3/17/2025,313,26655
3/17/2025,147,6934
3/17/2025,398,22365
3/17/2025,146,6655
3/17/2025,309,8628
3/17/2025,320,9152
3/17/2025,300,5587
3/17/2025,20,3503
3/17/2025,321,5095
3/17/2025,277,13778
3/17/2025,158,8009
3/17/2025,107,4451
3/17/2025,169,11548
3/17/2025,232,10508
3/17/2025,224,11253
3/17/2025,403,19689
3/17/2025,316,17470
3/17/2025,156,3209
3/17/2025,439,9166
3/17/2025,303,7016
3/17/2025,162,16444
3/17/2025,118,5151
3/7/2025,396,14030
3/7/2025,158,8526
3/7/2025,145,3015
3/7/2025,605,17561
3/7/2025,324,9366
3/7/2025,321,5265
3/7/2025,477,24916
3/7/2025,20,3444
3/7/2025,300,5446
3/7/2025,232,13371
3/7/2025,277,12890
3/7/2025,152,3964
3/7/2025,476,19415
3/7/2025,327,13477
3/7/2025,156,3498
3/7/2025,312,11588
3/7/2025,103,2835
3/7/2025,298,4354
3/7/2025,144,4688
3/7/2025,310,26995
3/7/2025,320,9871
3/7/2025,157,7419
3/7/2025,119,23595
3/7/2025,440,7337
3/7/2025,160,7349
3/7/2025,405,17955
3/7/2025,297,1838
3/7/2025,404,14388
3/7/2025,437,2406
3/7/2025,316,16644
3/7/2025,168,10448
3/7/2025,150,1802
3/10/2025,319,10031
3/10/2025,152,4284
3/10/2025,10,16492
3/10/2025,14,13096
3/10/2025,309,8733
3/10/2025,162,15224
3/10/2025,321,4966
3/10/2025,393,10408
3/10/2025,119,19575
3/10/2025,165,15443
3/10/2025,439,10375
3/10/2025,22,3784
3/10/2025,310,25947
3/10/2025,605,17533
3/10/2025,398,20832
3/10/2025,20,4110
3/10/2025,440,6943
3/10/2025,395,9690
3/10/2025,144,4458
3/10/2025,324,10910
3/10/2025,232,10691
3/10/2025,312,10505
3/10/2025,403,18727
3/10/2025,150,1697
3/10/2025,397,33777
3/10/2025,224,10869
3/10/2025,407,11889
3/10/2025,168,10392
3/10/2025,220,2019
3/10/2025,154,4761
3/10/2025,157,7544
3/10/2025,300,5442
3/10/2025,325,3068
3/10/2025,333,13152
3/6/2025,119,22567
3/6/2025,158,8925
3/6/2025,300,5823
3/6/2025,477,27125
3/6/2025,405,22925
3/6/2025,311,14641
3/6/2025,475,15093
3/6/2025,404,17193
3/6/2025,162,17926
3/6/2025,14,15306
3/6/2025,150,1861
3/6/2025,156,3453
3/6/2025,232,13031
3/6/2025,396,14667
3/6/2025,306,7009
3/6/2025,403,22037
3/6/2025,118,5402
3/6/2025,437,2311
3/6/2025,147,7528
3/6/2025,476,20406
3/6/2025,8,11043
3/6/2025,321,6346
3/6/2025,439,10745
3/6/2025,143,6156
3/6/2025,228,21919
3/6/2025,395,10340
3/6/2025,309,9749
3/6/2025,397,36809
3/6/2025,13,10015
3/6/2025,277,14991
3/6/2025,310,28290
3/6/2025,394,8517
3/6/2025,313,30908
3/6/2025,165,18539
